area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-02-28,0.77,0.77,0.78,0.79,0.79,0.79,0.80,0.81,0.81,0.82,0.83,0.83,0.83,0.84,0.84,inferred
"North East and Yorkshire",2021-03-01,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-02,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-03,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-04,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-05,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-06,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-07,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,inferred
"North East and Yorkshire",2021-03-08,0.96,0.97,0.98,0.99,1.00,1.00,1.01,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.07,inferred
"North East and Yorkshire",2021-03-09,0.96,0.97,0.98,0.99,1.00,1.00,1.01,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.07,inferred
"North East and Yorkshire",2021-03-10,0.96,0.97,0.98,0.99,1.00,1.00,1.01,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.07,inferred
